population,men,women,white,black,hispanic,asian,native,average_income,poverty,employed,unemployed,winning_party
126516.0,50.66,49.34,55.7,3.6,35.0,1.8,0.9,47847.0,18.1,34.31,7.6,2
138639.0,49.24,50.76,54.3,1.2,13.9,1.8,25.8,53523.0,21.0,47.09,8.3,2
138639.0,49.24,50.76,54.3,1.2,13.9,1.8,25.8,53523.0,21.0,47.09,8.3,1
53145.0,49.46,50.54,62.8,0.4,18.6,0.9,15.6,41179.0,21.9,34.28,11.7,2
37700.0,53.67,46.33,51.2,1.8,32.5,0.7,12.6,48173.0,21.4,32.92,12.2,2
9368.0,53.34,46.66,47.6,2.0,46.4,0.4,3.6,56298.0,11.5,39.23,7.6,2
20477.0,51.42,48.58,58.7,0.8,26.3,0.8,11.1,36479.0,19.7,31.62,9.5,2
4155501.0,49.46,50.54,56.3,5.1,30.6,3.9,1.5,58580.0,15.7,46.42,6.0,2
4155501.0,49.46,50.54,56.3,5.1,30.6,3.9,1.5,58580.0,15.7,46.42,6.0,1
204691.0,50.41,49.59,78.0,1.0,15.9,1.2,2.1,41567.0,18.6,34.09,10.1,2
22495.0,47.55,52.45,69.1,23.8,4.6,0.7,0.3,37144.0,21.5,45.75,4.5,2
15190.0,48.85,51.15,95.8,0.7,1.9,0.0,0.5,32219.0,22.3,41.04,5.3,2
25361.0,49.26,50.74,94.8,0.6,2.5,0.8,0.7,42312.0,15.4,39.99,5.5,2
8332.0,50.28,49.72,84.7,11.0,1.8,0.1,0.4,44840.0,19.3,40.35,6.6,2
23992.0,47.92,52.08,59.4,34.9,2.5,1.1,0.3,37072.0,25.1,41.17,9.5,2
20954.0,49.22,50.78,81.8,11.0,3.8,0.1,0.3,39638.0,18.5,39.98,7.1,2
104246.0,48.71,51.29,77.3,13.4,4.9,1.1,0.2,45672.0,18.3,46.25,6.0,2
62119.0,49.24,50.76,85.0,1.3,7.3,1.8,1.6,43504.0,16.6,41.45,6.2,2
49278.0,47.29,52.71,43.2,48.9,2.4,0.7,0.3,38558.0,23.5,41.16,8.4,2
49278.0,47.29,52.71,43.2,48.9,2.4,0.7,0.3,38558.0,23.5,41.16,8.4,1
17164.0,48.49,51.51,73.0,22.7,1.9,0.1,0.0,41081.0,18.0,42.19,6.8,2
18352.0,47.87,52.13,70.2,26.0,3.0,0.0,0.0,38532.0,20.7,43.16,8.5,2
7585.0,47.98,52.02,53.2,40.0,3.1,1.6,0.4,35794.0,13.2,38.37,6.4,2
12094.0,45.87,54.13,45.7,47.5,5.8,0.1,0.1,27036.0,32.6,36.71,12.2,2
12094.0,45.87,54.13,45.7,47.5,5.8,0.1,0.1,27036.0,32.6,36.71,12.2,1
18620.0,48.82,51.18,66.9,28.8,3.1,0.2,0.1,36092.0,24.4,40.97,9.0,2
121282.0,48.97,51.03,80.6,11.4,4.0,1.3,0.3,50316.0,16.3,47.25,5.1,2
17803.0,48.72,51.28,92.4,1.0,2.9,0.5,1.6,39472.0,21.9,37.06,6.6,2
12092.0,49.18,50.82,95.6,0.3,1.3,0.0,0.9,36051.0,23.0,34.17,6.9,2
97994.0,48.24,51.76,82.6,8.1,5.4,0.5,0.7,41672.0,19.1,40.61,9.0,2
18076.0,48.84,51.16,93.0,2.9,2.5,0.0,0.2,49968.0,14.4,41.83,8.7,2
44197.0,49.34,50.66,93.9,1.0,2.7,0.3,0.3,45566.0,15.9,43.2,7.0,2
22154.0,46.85,53.15,55.2,29.5,12.5,0.1,0.3,38701.0,25.3,39.81,6.4,2
20771.0,48.75,51.25,68.0,25.6,5.2,0.0,0.2,36407.0,21.3,38.06,9.9,2
33480.0,51.65,48.35,82.8,10.9,3.4,0.3,0.3,40626.0,15.8,39.96,6.2,2
13472.0,48.86,51.14,65.0,20.9,12.0,0.2,0.2,34851.0,21.0,41.27,5.7,2
37097.0,48.67,51.33,89.2,1.9,6.1,0.7,0.3,39945.0,18.5,41.26,6.0,2
13521.0,51.56,48.44,93.5,1.9,2.1,0.2,1.1,39135.0,17.7,34.13,9.6,2
17429.0,49.2,50.8,77.2,16.9,2.7,0.0,0.2,32783.0,25.1,32.7,7.0,2
71373.0,49.25,50.75,39.6,56.3,2.0,0.8,0.2,37630.0,24.7,37.65,10.0,2
71373.0,49.25,50.75,39.6,56.3,2.0,0.8,0.2,37630.0,24.7,37.65,10.0,1
26155.0,49.62,50.38,80.3,1.6,13.7,1.6,0.2,35758.0,22.5,39.87,4.7,2
7051.0,49.07,50.93,59.3,37.8,1.2,0.4,0.3,32500.0,23.8,36.59,8.3,2
16777.0,49.38,50.62,95.8,0.9,1.3,0.1,0.5,37603.0,18.4,38.43,8.2,2
9614.0,56.74,43.26,40.7,56.9,1.4,0.1,0.1,27901.0,27.3,29.56,15.3,2
9614.0,56.74,43.26,40.7,56.9,1.4,0.1,0.1,27901.0,27.3,29.56,15.3,1
41093.0,48.32,51.68,95.1,0.2,2.1,0.4,0.5,40072.0,12.6,38.76,5.8,2
